,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
13218,superamerica,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.03043219306654458,0.0,0.0,0.0,0.0,0.0,0.0
13219,superamerica,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.03043219306654458,0.0,0.0,0.0,0.0,0.0,0.0
13220,tusculum beverage,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.00966734719522983,0.0,0.012541855235218323,0.005120731800145631,0.005378817766549298,0.006354970504037151,0.003373387386685379
13221,unimart oh0017,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.006195450028005725,0.0,0.0,0.0,0.0,0.0,0.0
13222,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13223,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13224,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13225,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,0,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13226,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13227,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13228,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13229,united dairy farmers,OH,,,,0.0,,Convenience store with or without gas,2016.0,1.0,1,1,,Ohio,Convenience,0.023181498140514012,0.0,0.0014909869945804151,0.0,0.006584646341666541,0.0022656412641634594,0.0
13230,walgreens,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,1,1,,Ohio,Drug,0.011359716211259703,0.12948725601933744,0.0132681404399127,0.05374033212035571,0.016763327493412982,0.0,0.0
13231,walgreens,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,1,1,,Ohio,Drug,0.011359716211259703,0.12948725601933744,0.0132681404399127,0.05374033212035571,0.016763327493412982,0.0,0.0
13232,walgreens ,OH,,,,1.0,,Drug store or pharmacy ,2016.0,1.0,0,1,,Ohio,Drug,0.011359716211259703,0.12948725601933744,0.0132681404399127,0.05374033212035571,0.016763327493412982,0.0,0.0
13233,wishing wines,OH,,,,0.0,,"Beer, wine, liquor store",2016.0,1.0,1,1,,Ohio,"Beer,",0.00233866733401886,0.0,0.024400049892388618,0.0,0.008833939528340882,0.006544774236411438,0.006488376245358292
